name,token,normalizedName
Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Growth Option,538594,reliance mutual fund reliance capital builder fund series a growth option
Gloster Ltd,538595,gloster
Quantum Build-Tech Ltd,538596,quantum build tech
TTI Enterprise Ltd,538597,tti enterprise
Vishal Fabrics Ltd,538598,vishal fabrics
Toyam Sports Ltd,538607,toyam sports
Gajanan Securities Services Ltd,538609,gajanan securities services
Unison Metals Ltd,538610,unison metals
Real Touch Finance Ltd,538611,real touch finance
Reliance Mutual Fund - Reliance Capital Builder Fund- Series B - Direct Dvdnd Plan- Dvdnd Pyot O,538630,reliance mutual fund reliance capital builder fund series b direct dvdnd plan dvdnd pyot o
Reliance Mutual Fund- Reliance Capital Builder Fund- Series B - Direct Growth Plan- Growth Option,538631,reliance mutual fund reliance capital builder fund series b direct growth plan growth option
Reliance Mutual Fund- Reliance Capital Builder Fund- Series B - Dividend Plan-dividend Pyut Otin,538632,reliance mutual fund reliance capital builder fund series b dividend plan dividend pyut otin
NIPPON INDIA MUTUAL FUND - NIPPON INDIA MUTUAL FUND  Capital Builder Fund- Series B - Growth Plan- Growth Option,538633,nippon india mutual fund nippon india mutual fund capital builder fund series b growth plan growth option
Vasundhara Rasayans Ltd,538634,vasundhara rasayans
Snowman Logistics Ltd,538635,snowman logistics
QGO Finance Ltd,538646,qgo finance
Purshottam Investofin Ltd,538647,purshottam investofin
Icici Prudential Value Fund Series 5 (regular Cumulative Option),538648,icici prudential value fund series 5 regular cumulative option
ICICI Prudential Value Fund Series 5 (Regular Dividend Option),538649,icici prudential value fund series 5 regular dividend option
Icici Prudential Value Fund Series 5 (direct Cumulative Option),538650,icici prudential value fund series 5 direct cumulative option
Icici Prudential Value Fund Series 5 (direct Dividend Option),538651,icici prudential value fund series 5 direct dividend option
Hind Commerce Ltd,538652,hind commerce
Ejecta Marketing Ltd,538653,ejecta marketing
Sharda Cropchem Ltd,538666,sharda cropchem
Sirohia & Sons Ltd,538667,sirohia sons
Naysaa Securities Ltd,538668,naysaa securities
City Online Services Ltd,538674,city online services
Nippon India ETF S&P BSE Sensex,538683,nippon india etf s p bse sensex
Encash Entertainment Ltd,538684,encash entertainment
Shemaroo Entertainment Ltd,538685,shemaroo entertainment
Ultracab (India) Ltd,538706,ultracab
Rajasthan Cylinders & Containers Ltd,538707,rajasthan cylinders containers
Econo Trade (India) Ltd,538708,econo trade
SBI Equity Opportunities Fund - Series I- Regular Plan -Growth,538709,sbi equity opportunities fund series i regular plan growth
SBI Equity Opportunities Fund - Series I-Regular Plan- Dividend Payout,538710,sbi equity opportunities fund series i regular plan dividend payout
Sbi Equity Opportunities Fund - Series I-direct Plan -growth,538711,sbi equity opportunities fund series i direct plan growth
Sbi Equity Opportunities Fund - Series I-direct Plan - Dividend Payout,538712,sbi equity opportunities fund series i direct plan dividend payout
Atishay Ltd,538713,atishay
Sangam Finserv Ltd,538714,sangam finserv
Dhabriya Polywood Ltd,538715,dhabriya polywood
Aryaman Capital Markets Ltd,538716,aryaman capital markets
Reliance Capital Builder Fund- Series C - Direct Dividend Plan- Dividend Payout Option,538717,reliance capital builder fund series c direct dividend plan dividend payout option
Reliance Capital Builder Fund- Series C - Direct Growth Plan- Growth Option,538718,reliance capital builder fund series c direct growth plan growth option
Reliance Mutual Fund- Reliance Capital Builder Fund- Series C - Dividend Plan-Dividend P O,538719,reliance mutual fund reliance capital builder fund series c dividend plan dividend p o
Reliance Capital Builder Fund- Series C - Growth Plan- Growth Option,538720,reliance capital builder fund series c growth plan growth option
ICICI Prudential Growth Fund Series 3 (Regular Plan - Dividend Payout Option),538728,icici prudential growth fund series 3 regular plan dividend payout option
Icici Prudential Growth Fund Series 3 (direct Plan - Dividend Payout Option),538729,icici prudential growth fund series 3 direct plan dividend payout option
PDS Ltd,538730,pds
Hanman Fit Ltd,538731,hanman fit
Vibrant Global Capital Ltd,538732,vibrant global capital
Starlit Power Systems Ltd,538733,starlit power systems
Ceinsys Tech Ltd,538734,ceinsys tech
Panabyte Technologies Ltd,538742,panabyte technologies
Mudunuru Ltd,538743,mudunuru
Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 3 REGULAR GROWTH,538755,aditya birla sun life focused equity fund series 3 regular growth
Aditya Birla Sun Life Focused Equity Fund - Series 3 Regular Dividend,538756,aditya birla sun life focused equity fund series 3 regular dividend
Aditya Birla Sun Life Focused Equity Fund - Series 3 Direct Growth,538757,aditya birla sun life focused equity fund series 3 direct growth
Aditya Birla Sun Life Focused Equity Fund - Series 3 Direct Dividend,538758,aditya birla sun life focused equity fund series 3 direct dividend
ICICI Prudential Growth Fund Series 4 (Regular Plan - Dividend Payout Option),538763,icici prudential growth fund series 4 regular plan dividend payout option
Icici Prudential Growth Fund Series 4 (direct Plan - Dividend Payout Option),538764,icici prudential growth fund series 4 direct plan dividend payout option
JLA Infraville Shoppers Ltd,538765,jla infraville shoppers
Crane Infrastructure Ltd,538770,crane infrastructure
Pincon Spirit Ltd,538771,pincon spirit
Niyogin Fintech Ltd,538772,niyogin fintech
Asia Capital Ltd,538777,asia capital
Kalyan Capitals Ltd,538778,kalyan capitals
Citizen Infoline Ltd,538786,citizen infoline
Goenka Business & Finance Ltd,538787,goenka business finance
Gilada Finance & Investments Ltd,538788,gilada finance investments
Budge Budge Company Ltd,538789,budge budge
Tej Infoways Ltd,538793,tej infoways
Jet Infraventure Ltd,538794,jet infraventure
Shree Ajit Pulp And Paper Ltd,538795,shree ajit pulp and paper
DSP BlackRock 3 Years Close Ended Equity Fund-Regular- Growth,538808,dsp blackrock 3 years close ended equity fund regular growth
DSP BlackRock 3 Years Close Ended Equity Fund-Regular- Dividend Payout,538809,dsp blackrock 3 years close ended equity fund regular dividend payout
Dsp Blackrock 3 Years Close Ended Equity Fund- Direct Plan - Growth,538810,dsp blackrock 3 years close ended equity fund direct plan growth
Dsp Blackrock 3 Years Close Ended Equity Fund-direct Plan - Dividend Payout,538811,dsp blackrock 3 years close ended equity fund direct plan dividend payout
Aanchal Ispat Ltd,538812,aanchal ispat
Captain Pipes Ltd,538817,captain pipes
SBI Equity Opportunities Fund - Series II-Regular Plan -Growth,538818,sbi equity opportunities fund series ii regular plan growth
Sbi Equity Opportunities Fund - Series Ii-regular Plan- Dividend Payout,538819,sbi equity opportunities fund series ii regular plan dividend payout
Sbi Equity Opportunities Fund - Series Ii-direct Plan -growth,538820,sbi equity opportunities fund series ii direct plan growth
Sbi Equity Opportunities Fund - Series Ii-direct Plan - Dividend Payout,538821,sbi equity opportunities fund series ii direct plan dividend payout
Anubhav Infrastructure Ltd,538833,anubhav infrastructure
JMJ Fintech Ltd,538834,jmj fintech
Intellect Design Arena Ltd,538835,intellect design arena
Monte Carlo Fashions Ltd,538836,monte carlo fashions
Jeevan Scientific Technology Ltd,538837,jeevan scientific technology
Indo Cotspin Ltd,538838,indo cotspin
Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 4 REGULAR GROWTH,538841,aditya birla sun life focused equity fund series 4 regular growth
Aditya Birla Sun Life Focused Equity Fund - Series 4 Regular Dividend,538842,aditya birla sun life focused equity fund series 4 regular dividend
Aditya Birla Sun Life Focused Equity Fund - Series 4 Direct Growth,538843,aditya birla sun life focused equity fund series 4 direct growth
Aditya Birla Sun Life Focused Equity Fund - Series 4 Direct Dividend,538844,aditya birla sun life focused equity fund series 4 direct dividend
Reliance Capital Builder Fund Ii - Series A - Direct Plan Dividend Payout Option,538853,reliance capital builder fund ii series a direct plan dividend payout option
Reliance Capital Builder Fund Ii - Series A - Direct Plan Growth Option,538854,reliance capital builder fund ii series a direct plan growth option
Reliance Capital Builder Fund II - Series A -  Dividend Payout Option,538855,reliance capital builder fund ii series a dividend payout option
Reliance Capital Builder Fund II - Series A -  Growth Option,538856,reliance capital builder fund ii series a growth option
Scintilla Commercial & Credit Ltd,538857,scintilla commercial credit
Camson Bio Technologies Ltd,538858,camson bio technologies
Panafic Industrials Ltd,538860,panafic industrials
Amsons Apparels Ltd,538861,amsons apparels
My Money Securities Ltd,538862,my money securities
Sri Amarnath Finance Ltd,538863,sri amarnath finance
Continental Securities Ltd,538868,continental securities
Winy Commercial & Fiscal Services Ltd,538873,winy commercial fiscal services
Nexus Surgical And Medicare Ltd,538874,nexus surgical and medicare
Sellwin Traders Ltd,538875,sellwin traders
S T Services Ltd,538876,s t services
Galada Finance Ltd,538881,galada finance
Emerald Finance Ltd,538882,emerald finance
M.K. Exim (India) Ltd,538890,m k exim
Magellanic Cloud Ltd,538891,magellanic cloud
ICICI Prudential Growth Fund Series 6 (Regular Plan - Dividend Payout),538892,icici prudential growth fund series 6 regular plan dividend payout
Icici Prudential Growth Fund Series 6 (direct Plan - Dividend Payout),538893,icici prudential growth fund series 6 direct plan dividend payout
Octal Credit Capital Ltd,538894,octal credit capital
Mihika Industries Ltd,538895,mihika
Kanchi Karpooram Ltd,538896,kanchi karpooram
Shri Niwas Leasing And Finance Ltd,538897,shri niwas leasing and finance
Dhunseri Tea & Industries Ltd,538902,dhunseri tea
Vani Commercials Ltd,538918,vani commercials
Skyline Ventures India Ltd,538919,skyline ventures
Vintage Coffee And Beverages Ltd,538920,vintage coffee and beverages
Raghuvansh Agrofarms Ltd,538921,raghuvansh agrofarms
COSYN Ltd,538922,cosyn
Sofcom Systems Ltd,538923,sofcom systems
ICICI Prudential Growth Fund Series 7 (Regular Plan - Dividend Payout),538924,icici prudential growth fund series 7 regular plan dividend payout
Icici Prudential Growth Fund Series 7 (direct Plan - Dividend Payout),538925,icici prudential growth fund series 7 direct plan dividend payout
Naturite Agro Products Ltd,538926,naturite agro products
Karnavati Finance Ltd,538928,karnavati finance
Abhishek Finlease Ltd,538935,abhishek finlease
Icici Prudential Growth Fund Series 8 (regular Plan - Dividend Payout),538936,icici prudential growth fund series 8 regular plan dividend payout
Icici Prudential Growth Fund Series 8 (direct Plan - Dividend Payout),538937,icici prudential growth fund series 8 direct plan dividend payout
Reliance Capital Builder Fund Ii - Series B - Direct Plan Dividend Payout Option,538938,reliance capital builder fund ii series b direct plan dividend payout option
Reliance Capital Builder Fund Ii - Series B - Direct Plan Growth Option,538939,reliance capital builder fund ii series b direct plan growth option
Reliance Capital Builder Fund II - Series B -  Dividend Payout Option,538940,reliance capital builder fund ii series b dividend payout option
Reliance Capital Builder Fund II - Series B -  Growth Option,538941,reliance capital builder fund ii series b growth option
Mercantile Ventures Ltd,538942,mercantile ventures
Sonal Mercantile Ltd,538943,sonal mercantile
Abhinav Leasing & Finance Ltd,538952,abhinav leasing finance
LIC MF RGESS Fund Series- 3 -Regular Plan- Growth Option,538957,lic mf rgess fund series 3 regular plan growth option
