SYMBOL,NAME OF COMPANY,normalizedName
MRPL,Mangalore Refinery and Petrochemicals Limited,mangalore refinery and petrochemicals
MSPL,MSP Steel & Power Limited,msp steel power
MSTCLTD,Mstc Limited,mstc
MSUMI,Motherson Sumi Wiring India Limited,motherson sumi wiring
MTARTECH,Mtar Technologies Limited,mtar technologies
MTEDUCARE,MT Educare Limited,mt educare
MTNL,Mahanagar Telephone Nigam Limited,mahanagar telephone nigam
MUFIN,Mufin Green Finance Limited,mufin green finance
MUFTI,Credo Brands Marketing Limited,credo brands marketing
MUKANDLTD,Mukand Limited,mukand
MUKKA,Mukka Proteins Limited,mukka proteins
